model,lambda,epsilon,beta
G2,0.8888888888888888,0.05,5.49639665912756
G2,0.8888888888888888,0.15,3.5408748536188854
G2,0.8888888888888888,0.25,2.409453753572158
G2,0.8888888888888888,0.35,1.8029307170919737
G2,0.8888888888888888,0.44999999999999996,1.2590183090276605
G2,0.8888888888888888,0.5499999999999999,0.8164505311525895
G2,0.8888888888888888,0.65,0.6171704148187941
G2,0.8888888888888888,0.75,0.42913581475083773
G2,0.8888888888888888,0.85,0.2893750244185611
G2,0.8888888888888888,0.95,0.11022694072530972
G2,1.1111111111111112,0.05,5.49639665912756
G2,1.1111111111111112,0.15,3.5069561280215087
G2,1.1111111111111112,0.25,2.3891886071022883
G2,1.1111111111111112,0.35,1.7104615519875086
G2,1.1111111111111112,0.44999999999999996,1.1520069937681547
G2,1.1111111111111112,0.5499999999999999,0.7754673394932263
G2,1.1111111111111112,0.65,0.5711180105394043
G2,1.1111111111111112,0.75,0.4133630327524028
G2,1.1111111111111112,0.85,0.275097061204415
G2,1.1111111111111112,0.95,0.09328376329818708
G2,1.3333333333333333,0.05,5.36700516964538
G2,1.3333333333333333,0.15,3.3707371988407515
G2,1.3333333333333333,0.25,2.3427605657444595
G2,1.3333333333333333,0.35,1.7050344157789858
G2,1.3333333333333333,0.44999999999999996,1.1990214114392164
G2,1.3333333333333333,0.5499999999999999,0.7947903318182523
G2,1.3333333333333333,0.65,0.6020533273960511
G2,1.3333333333333333,0.75,0.41975810800155716
G2,1.3333333333333333,0.85,0.275097061204415
G2,1.3333333333333333,0.95,0.09328376329818708
G2,1.5555555555555554,0.05,5.2840671674379776
G2,1.5555555555555554,0.15,3.3142178060618157
G2,1.5555555555555554,0.25,2.30957218392746
G2,1.5555555555555554,0.35,1.6245856120439925
G2,1.5555555555555554,0.44999999999999996,1.1439201633426002
G2,1.5555555555555554,0.5499999999999999,0.7741906324240545
G2,1.5555555555555554,0.65,0.5632098723029033
G2,1.5555555555555554,0.75,0.40205853686782345
G2,1.5555555555555554,0.85,0.24119425011308598
G2,1.5555555555555554,0.95,0.0831054652877955
G2,1.7777777777777777,0.05,5.31291187978087
G2,1.7777777777777777,0.15,3.3427409186534645
G2,1.7777777777777777,0.25,2.324158615112564
G2,1.7777777777777777,0.35,1.6685032604664956
G2,1.7777777777777777,0.44999999999999996,1.149051989177677
G2,1.7777777777777777,0.5499999999999999,0.7892146715118309
G2,1.7777777777777777,0.65,0.5755461936964694
G2,1.7777777777777777,0.75,0.4064181945937697
G2,1.7777777777777777,0.85,0.24776346480150982
G2,1.7777777777777777,0.95,0.08444393340595224
G2,2.0,0.05,5.182251959888019
G2,2.0,0.15,3.2913764378955284
G2,2.0,0.25,2.246076008225322
G2,2.0,0.35,1.5700755037062077
G2,2.0,0.44999999999999996,1.1070713986342198
G2,2.0,0.5499999999999999,0.766160784407689
G2,2.0,0.65,0.536982459259669
G2,2.0,0.75,0.36193633607730585
G2,2.0,0.85,0.22959598890149388
G2,2.0,0.95,0.07967735400536127
