model,lambda,epsilon,beta
G2,0.0,0.85,0.1590540192087819
G2,0.0,0.95,0.050199719232773166
G2,0.1,0.05,5.664007344961089
G2,0.1,0.15,3.440070933421179
G2,0.1,0.25,2.347434763939797
G2,0.1,0.35,1.7591224122587206
G2,0.1,0.44999999999999996,1.2927122097737094
G2,0.1,0.5499999999999999,0.8864458971136048
G2,0.1,0.65,0.6237084963323016
G2,0.1,0.75,0.4354547821391134
G2,0.1,0.85,0.30559216337088324
G2,0.1,0.95,0.1202361465305345
G2,0.2,0.05,6.433294583677258
G2,0.2,0.15,3.6776681788886787
G2,0.2,0.25,2.600947545256224
G2,0.2,0.35,1.8505174993177564
G2,0.2,0.44999999999999996,1.3770290370312996
G2,0.2,0.5499999999999999,1.0772509823808374
G2,0.2,0.65,0.8116945293291528
G2,0.2,0.75,0.5583282446914131
G2,0.2,0.85,0.40378813638133404
G2,0.2,0.95,0.19903786180279284
G2,0.30000000000000004,0.05,6.433294583677258
G2,0.30000000000000004,0.15,3.704031556789192
G2,0.30000000000000004,0.25,2.6078628545175304
G2,0.30000000000000004,0.35,1.9180827512263892
G2,0.30000000000000004,0.44999999999999996,1.3877971241413412
G2,0.30000000000000004,0.5499999999999999,1.0878955376757642
G2,0.30000000000000004,0.65,0.8248543756580946
G2,0.30000000000000004,0.75,0.563780753209726
G2,0.30000000000000004,0.85,0.40378813638133404
G2,0.30000000000000004,0.95,0.21474293660267657
G2,0.4,0.05,6.268568322220407
G2,0.4,0.15,3.656623576848081
G2,0.4,0.25,2.5317837000882744
G2,0.4,0.35,1.8090356881110765
G2,0.4,0.44999999999999996,1.3354398170684112
G2,0.4,0.5499999999999999,0.9843686867881218
G2,0.4,0.65,0.7533124514152649
G2,0.4,0.75,0.5377183939810761
G2,0.4,0.85,0.37554409652306986
G2,0.4,0.95,0.16105034313327887
G2,0.5,0.05,6.097030667961096
G2,0.5,0.15,3.5977408951702183
G2,0.5,0.25,2.4275646183120307
G2,0.5,0.35,1.7502890931697581
G2,0.5,0.44999999999999996,1.297144280079114
G2,0.5,0.5499999999999999,0.9568821606511142
G2,0.5,0.65,0.7109140259325331
G2,0.5,0.75,0.5229617699097837
G2,0.5,0.85,0.34734067850176487
G2,0.5,0.95,0.1325619154314963
G2,0.6000000000000001,0.05,6.240510804767396
G2,0.6000000000000001,0.15,3.6648927795749304
